;M;F;?;Year;LAT;VERN;
18952;1;;;1473;;1;"""scriptor qui scripsit"""
18953;;;1;;1;;
18954;;;1;;1;;
18955;;;1;1450;1;;
18956;;;1;1431;1;;
18957;;;1;1425;1;;
18968;;;1;1477;1;;
18959;;;1;1466;;1;
18960;;;1;1485;1;;
18961;;;1;1482;;1;
18962;;;1;1481;1;;
18963;;;1;1597;;1;
18964;1;;;1354;1;;"""de me factore"""
18965;;;1;1450;;1;
18966;;;1;1546;1;;
18967;;;1;;1;;
18968;1;;;;1;;"""in domo Augustinensium"""
18969;;;1;1426;1;;
18970;1;;;1496;1;;"""in conventu s Francisci in Aragusio"""
18971;;;1;1469;1;;
18972;;1;;1506;;1;"""geschrieben durch die hende einer schwester disses conventes"""
18973;1;;;;1;;"""completa per scriptorem"""
18974;;;1;1450;1;;
18975;;;1;1494;1;;
18976;;;1;1344;1;;
18977;;;1;1438;1;;
18978;;;1;1443;1;;
18979;;;1;1590;1;;
18980;;;1;1593;1;;
18981;;;1;1319;1;;
18982;;;1;1323;1;;
18983;1;;;1333;1;;"""scribi fecit frater"""
18984;;;1;1342;;1;
18985;1;;;1362;1;;"""qui scripsit carmen sit benedictus"""
18986;;;1;1498;1;;
18987;;;1;1432;1;;
18988;;;1;1477;1;;
18989;;;1;1291;1;;
18990;;;1;1473;1;;
18991;;;1;1412;1;;
18992;;;1;1474;1;;
18993;;;1;1423;1;;
18994;1;;;;1;;"""ora lector pie pro scriptore unum"""
18995;;;1;1432;1;;
18996;;;1;1433;1;;
18997;;;1;1433;1;;
18998;;;1;1433;1;;
18999;;;1;1436;1;;
19000;;;1;1437;1;;
19001;;;1;1466;1;;
19002;;;1;1467;1;;
19003;;;1;;1;;
19004;;;1;1432;1;;
19005;1;;;1151;1;;"""scriptus fuit… a fratribus. Orate pro eis."" (SM de Bellavalle)"
19006;1;;;1336;1;;(SM de Bellavalle)
19007;;;1;1437;1;;
19008;;;1;1440;1;;(…finita in Bergen)
19009;;;1;1171;1;;
19010;;;1;1440;1;;
19011;;;1;1451;1;;
19012;;;1;1524;1;;
19013;;;1;1442;1;;
19014;;;1;1424;1;;
19015;;;1;;;1;
19016;;;1;1505;1;;
19017;;;1;1534;1;;
19018;;;1;1473;;1;
19019;;;1;1176;1;;
19020;;;1;1442;1;;
19021;;;1;1503;1;;
19022;;;1;;1;;
19023;1;;;;1;;"""scriptoris lete bursam"""
19024;;;1;;;1;
19025;;;1;1478;;1;
19026;;;1;;1;;
19027;;;1;;;1;
19028;;;1;;1;;
19029;;;1;1301;1;;
19030;;;1;1305;1;;
19031;1;;;1316;1;;"""per scriptorem completa"""
19032;;;1;1318;1;;
19033;;;1;1369;1;;
19034;;;1;;1;;
19035;;;1;;1;;
19036;;;1;;1;;
19037;;;1;1425;1;;
19038;;;1;1427;1;;
19039;;;1;1428;1;;På gresk og latin
19040;;;1;1428;1;;
19041;;;1;1429;1;;
19042;;;1;1434;1;;
19043;1;;;1436;1;;"""in conventu fratrum Heremitarum"""
19044;;;1;1449;1;;
19045;;;1;1459;1;;
19046;;;1;1462;;1;
19047;;;1;1465;1;;
19048;1;;;1465;1;;"""scripsi… cum essem ibi vicarius potestatis"""
19049;;;1;1466;1;;
19050;1;;;1468;1;;"""Orate pro scriptore"""
19051;;;1;1474;1;;
19052;;;1;1474;1;;
19053;;;1;1480;1;;
19054;1;;;1481;1;;"""Ego Antonius"""
19055;1;;;1558;1;;"""per eudemque monachum priorem"""
19056;;;1;;1;;
19057;1;;;1452;1;;"""per fratrem quendam ordinis minorum"""
19058;;;1;1346;1;;
19059;;;1;1466;1;;
19060;;;1;1451;;1;
19061;;;1;1536;1;;
19062;;;1;1502;1;;
19063;;;1;1423;1;;
19064;;;1;1496;;1;
19065;1;;;1505;1;;"""per fratrem eiusdem ordinis"""
19066;1;;;1354;1;;"""sit scriptor crimine liber"" ""librarius fratrum predic."""
19067;;;1;1457;1;;
19068;;;1;1409;1;;
19069;1;;;1478;;1;"""den broederen"""
19070;;;1;1343;1;;
19071;;;1;1318;1;;
19072;;;1;1486;1;;
19073;;;1;1463;1;;
19074;;;1;1431;1;;
19075;;;1;1433;1;1;
19076;;;1;1473;1;;
19077;;;1;1476;1;;
19078;;;1;1429;1;;
19079;;;1;1470;1;;
19080;;;1;;;1;
19081;;;1;1453;1;;
19082;;;1;1459;1;;
19083;;;1;1547;;1;
19084;1;;;1428;1;;"""scriptus per fr…"""
19085;1;;;1345;1;1;"""monachus"""
19086;1;;;1406;1;;"""scriptor sit crimine liber"""
19087;;;1;1491;1;;
19088;;;1;1459;1;;
19089;;;1;1509;1;;
19090;;;1;1435;1;;
19091;1;;;1427;1;;"""pro scriptore rogetis"""
19092;;;1;1464;1;;
19093;;;1;1513;1;;
19094;;;1;1420;1;;
19095;;;1;1525;1;;
19096;;;1;;1;;
19097;;1;;1471;1;;"""apud sorores s. Anne excopiatus"""
19098;;;1;;1;;
19099;;;1;1473;1;;
19100;;;1;1375;1;;
19101;;;1;1317;;1;
19102;;;1;;;1;
19103;;;1;1405;;1;
19104;;;1;1308;1;;
19105;;;1;1447;1;;
19106;;;1;1453;1;;
19107;;;1;1459;1;;
19108;;;1;;1;;
